model	seed	file	date	weed_instances	crop_instances	candidates	accepted_candidates	eligible_weed_candidates	all_candidate_precision	many_to_one_spatial_recalled	many_to_one_role_qualified_recalled	one_to_one_role_qualified_recalled	crop_overlap_scene	maximum_crop_fraction
deeplabv3plus	20260821	2023-06-06_0667	2023-06-06	95	11	48	20	17	0.85	25	24	17	0	0.0
deeplabv3plus	20260821	2023-06-06_0670	2023-06-06	96	11	57	20	19	0.95	29	29	19	0	0.0
deeplabv3plus	20260821	2023-06-06_0736	2023-06-06	69	11	42	20	19	0.95	29	29	18	0	0.0
deeplabv3plus	20260821	2023-06-06_0770	2023-06-06	74	10	52	20	20	1.0	27	27	20	0	0.0
deeplabv3plus	20260821	2023-06-15_0169	2023-06-15	80	4	38	20	13	0.65	17	17	12	0	0.0
deeplabv3plus	20260821	2023-06-15_0735	2023-06-15	74	7	37	20	3	0.15	1	1	1	0	0.0
deeplabv3plus	20260822	2023-05-25_0109	2023-05-25	17	5	18	18	2	0.1111111111111111	3	2	2	1	0.7365853658536585
deeplabv3plus	20260822	2023-05-25_0114	2023-05-25	17	11	21	20	5	0.25	5	4	4	1	1.0
deeplabv3plus	20260822	2023-05-25_0170	2023-05-25	16	10	21	20	1	0.05	2	1	1	1	0.8053691275167785
deeplabv3plus	20260822	2023-05-25_0183	2023-05-25	9	10	15	15	3	0.2	3	3	3	1	0.7687861271676301
deeplabv3plus	20260822	2023-05-25_0681	2023-05-25	69	25	42	20	14	0.7	16	14	14	1	0.7172774869109948
deeplabv3plus	20260822	2023-05-25_0685	2023-05-25	114	23	50	20	17	0.85	20	18	17	0	0.0
deeplabv3plus	20260822	2023-05-25_0750	2023-05-25	74	13	29	20	12	0.6	12	9	8	1	0.8333333333333334
deeplabv3plus	20260822	2023-05-25_0786	2023-05-25	76	25	52	20	19	0.95	15	14	14	0	0.0
deeplabv3plus	20260822	2023-05-30_0039	2023-05-30	43	0	32	20	8	0.4	15	9	8	0	0.0
deeplabv3plus	20260822	2023-05-30_0044	2023-05-30	46	11	53	20	15	0.75	19	15	15	0	0.0
deeplabv3plus	20260822	2023-05-30_0099	2023-05-30	52	1	46	20	14	0.7	19	14	14	0	0.0
deeplabv3plus	20260822	2023-05-30_0114	2023-05-30	35	5	36	20	9	0.45	15	9	8	0	0.0
deeplabv3plus	20260822	2023-05-30_0649	2023-05-30	93	6	76	20	19	0.95	22	22	19	0	0.0
deeplabv3plus	20260822	2023-05-30_0652	2023-05-30	55	5	45	20	18	0.9	22	22	18	0	0.0
deeplabv3plus	20260822	2023-05-30_0720	2023-05-30	49	13	54	20	19	0.95	24	24	19	0	0.0
deeplabv3plus	20260822	2023-05-30_0750	2023-05-30	67	14	65	20	19	0.95	25	24	19	0	0.0
deeplabv3plus	20260822	2023-06-06_0161	2023-06-06	101	10	86	20	19	0.95	26	25	17	0	0.0
deeplabv3plus	20260822	2023-06-06_0166	2023-06-06	76	0	82	20	11	0.55	15	11	11	0	0.0
deeplabv3plus	20260822	2023-06-06_0176	2023-06-06	150	7	98	20	17	0.85	30	25	17	0	0.0
deeplabv3plus	20260822	2023-06-06_0231	2023-06-06	65	8	60	20	15	0.75	23	19	15	0	0.0
deeplabv3plus	20260822	2023-06-06_0667	2023-06-06	95	11	50	20	18	0.9	25	25	18	0	0.0
deeplabv3plus	20260822	2023-06-06_0670	2023-06-06	96	11	54	20	19	0.95	34	34	19	0	0.0
deeplabv3plus	20260822	2023-06-06_0736	2023-06-06	69	11	39	20	20	1.0	33	33	18	0	0.0
deeplabv3plus	20260822	2023-06-06_0770	2023-06-06	74	10	51	20	20	1.0	28	28	20	0	0.0
deeplabv3plus	20260822	2023-06-15_0169	2023-06-15	80	4	34	20	13	0.65	23	23	12	0	0.0
deeplabv3plus	20260822	2023-06-15_0735	2023-06-15	74	7	30	20	2	0.1	2	2	2	0	0.0
maskrcnn	20260820	2023-05-25_0109	2023-05-25	17	5	72	20	1	0.05	3	1	1	1	0.7368421052631579
maskrcnn	20260820	2023-05-25_0114	2023-05-25	17	11	67	20	7	0.35	5	5	5	0	0.0
maskrcnn	20260820	2023-05-25_0170	2023-05-25	16	10	87	20	4	0.2	5	3	3	1	0.5957446808510638
maskrcnn	20260820	2023-05-25_0183	2023-05-25	9	10	83	20	4	0.2	3	2	2	0	0.0
maskrcnn	20260820	2023-05-25_0681	2023-05-25	69	25	88	20	17	0.85	13	13	13	0	0.0
maskrcnn	20260820	2023-05-25_0685	2023-05-25	114	23	100	20	15	0.75	15	13	13	0	0.0
maskrcnn	20260820	2023-05-25_0750	2023-05-25	74	13	80	20	14	0.7	15	13	13	0	0.0
maskrcnn	20260820	2023-05-25_0786	2023-05-25	76	25	88	20	18	0.9	16	15	15	1	0.9351851851851852
maskrcnn	20260820	2023-05-30_0039	2023-05-30	43	0	75	20	9	0.45	16	7	7	0	0.0
maskrcnn	20260820	2023-05-30_0044	2023-05-30	46	11	72	20	15	0.75	15	12	12	0	0.0
maskrcnn	20260820	2023-05-30_0099	2023-05-30	52	1	79	20	18	0.9	17	17	17	0	0.0
maskrcnn	20260820	2023-05-30_0114	2023-05-30	35	5	70	20	15	0.75	17	15	14	0	0.0
maskrcnn	20260820	2023-05-30_0649	2023-05-30	93	6	91	20	20	1.0	24	24	20	0	0.0
maskrcnn	20260820	2023-05-30_0652	2023-05-30	55	5	61	20	20	1.0	24	24	20	0	0.0
maskrcnn	20260820	2023-05-30_0720	2023-05-30	49	13	74	20	20	1.0	19	19	19	0	0.0
maskrcnn	20260820	2023-05-30_0750	2023-05-30	67	14	83	20	20	1.0	21	21	20	0	0.0
maskrcnn	20260820	2023-06-06_0161	2023-06-06	101	10	91	20	20	1.0	22	22	19	0	0.0
maskrcnn	20260820	2023-06-06_0166	2023-06-06	76	0	100	20	20	1.0	19	19	17	0	0.0
maskrcnn	20260820	2023-06-06_0176	2023-06-06	150	7	100	20	20	1.0	20	20	19	1	0.0028328611898017
maskrcnn	20260820	2023-06-06_0231	2023-06-06	65	8	77	20	19	0.95	20	20	19	0	0.0
maskrcnn	20260820	2023-06-06_0667	2023-06-06	95	11	100	20	20	1.0	20	20	20	0	0.0
maskrcnn	20260820	2023-06-06_0670	2023-06-06	96	11	99	20	20	1.0	21	21	20	1	0.028259991925716592
maskrcnn	20260820	2023-06-06_0736	2023-06-06	69	11	100	20	20	1.0	20	20	20	0	0.0
maskrcnn	20260820	2023-06-06_0770	2023-06-06	74	10	89	20	20	1.0	21	21	20	0	0.0
maskrcnn	20260820	2023-06-15_0169	2023-06-15	80	4	100	20	20	1.0	14	14	14	0	0.0
maskrcnn	20260820	2023-06-15_0735	2023-06-15	74	7	100	20	20	1.0	15	15	15	1	0.021019442984760904
maskrcnn	20260821	2023-05-25_0109	2023-05-25	17	5	68	20	2	0.1	4	2	2	1	0.6615384615384615
maskrcnn	20260821	2023-05-25_0114	2023-05-25	17	11	66	20	10	0.5	6	6	6	0	0.0
maskrcnn	20260821	2023-05-25_0170	2023-05-25	16	10	83	20	2	0.1	4	2	2	0	0.0
maskrcnn	20260821	2023-05-25_0183	2023-05-25	9	10	64	20	4	0.2	3	3	3	0	0.0
maskrcnn	20260821	2023-05-25_0681	2023-05-25	69	25	95	20	12	0.6	13	12	12	1	0.875
maskrcnn	20260821	2023-05-25_0685	2023-05-25	114	23	100	20	17	0.85	14	14	14	0	0.0
maskrcnn	20260821	2023-05-25_0750	2023-05-25	74	13	75	20	13	0.65	12	10	10	0	0.0
maskrcnn	20260821	2023-05-25_0786	2023-05-25	76	25	80	20	17	0.85	15	14	14	0	0.0
maskrcnn	20260821	2023-05-30_0039	2023-05-30	43	0	91	20	11	0.55	14	9	8	0	0.0
