repeat	variant	model	held_out_date	k	images	accepted_candidates	eligible_weed_candidates	eligible_crop_candidates	ambiguous_or_background_candidates	all_candidate_precision	queued_spatial_weed_instance_recall	queued_role_qualified_weed_instance_recall	pure_crop_scene_frequency	crop_overlap_scene_frequency_0.00	crop_overlap_scene_frequency_0.01	crop_overlap_scene_frequency_0.10	crop_overlap_scene_frequency_0.50
1	nested_commissioned	dinov2_last_block_finetune	2023-06-06	5	48	240	218	0	22	0.9083333333333333	0.0539568345323741	0.05289885738468049	0.0	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.020833333333333332
1	nested_commissioned	dinov2_last_block_finetune	2023-06-06	10	48	480	422	0	58	0.8791666666666667	0.10643250105797715	0.10389335590351248	0.0	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.020833333333333332
1	nested_commissioned	dinov2_last_block_finetune	2023-06-06	20	48	960	789	0	171	0.821875	0.19276343630977572	0.18556919170545916	0.0	0.041666666666666664	0.041666666666666664	0.020833333333333332	0.020833333333333332
2	nested_commissioned	dinov2_last_block_finetune	2023-06-06	1	48	48	42	0	6	0.875	0.01079136690647482	0.010368176047397376	0.0	0.0	0.0	0.0	0.0
2	nested_commissioned	dinov2_last_block_finetune	2023-06-06	5	48	240	200	0	40	0.8333333333333334	0.054168429961912824	0.05289885738468049	0.0	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.020833333333333332
2	nested_commissioned	dinov2_last_block_finetune	2023-06-06	10	48	480	385	0	95	0.8020833333333334	0.09944985188319933	0.09669911129919594	0.0	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.020833333333333332
2	nested_commissioned	dinov2_last_block_finetune	2023-06-06	20	48	960	723	1	236	0.753125	0.173508252221752	0.16716038933559035	0.020833333333333332	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.041666666666666664
0	nested_commissioned	dinov2_last_block_finetune	2023-06-15	1	12	12	9	0	3	0.75	0.0059271803556308214	0.0059271803556308214	0.0	0.0	0.0	0.0	0.0
0	nested_commissioned	dinov2_last_block_finetune	2023-06-15	5	12	60	45	2	13	0.75	0.02201524132091448	0.02201524132091448	0.16666666666666666	0.25	0.25	0.16666666666666666	0.16666666666666666
0	nested_commissioned	dinov2_last_block_finetune	2023-06-15	10	12	120	93	4	23	0.775	0.09144792548687553	0.03556308213378493	0.25	0.5	0.5	0.4166666666666667	0.25
0	nested_commissioned	dinov2_last_block_finetune	2023-06-15	20	12	239	176	13	50	0.7364016736401674	0.19983065198983913	0.056731583403895	0.5833333333333334	0.8333333333333334	0.8333333333333334	0.75	0.5833333333333334
1	nested_commissioned	dinov2_last_block_finetune	2023-06-15	1	12	12	11	0	1	0.9166666666666666	0.003386960203217612	0.003386960203217612	0.0	0.08333333333333333	0.08333333333333333	0.0	0.0
1	nested_commissioned	dinov2_last_block_finetune	2023-06-15	5	12	60	48	2	10	0.8	0.016088060965283656	0.016088060965283656	0.16666666666666666	0.25	0.25	0.16666666666666666	0.16666666666666666
1	nested_commissioned	dinov2_last_block_finetune	2023-06-15	10	12	120	96	4	20	0.8	0.027095681625740897	0.027095681625740897	0.3333333333333333	0.4166666666666667	0.4166666666666667	0.3333333333333333	0.3333333333333333
1	nested_commissioned	dinov2_last_block_finetune	2023-06-15	20	12	239	177	15	47	0.7405857740585774	0.10499576629974598	0.04826418289585097	0.5	0.75	0.75	0.6666666666666666	0.5
2	nested_commissioned	dinov2_last_block_finetune	2023-06-15	1	12	12	10	0	2	0.8333333333333334	0.002540220152413209	0.002540220152413209	0.0	0.08333333333333333	0.08333333333333333	0.0	0.0
2	nested_commissioned	dinov2_last_block_finetune	2023-06-15	5	12	60	51	1	8	0.85	0.027095681625740897	0.027095681625740897	0.08333333333333333	0.25	0.25	0.16666666666666666	0.08333333333333333
2	nested_commissioned	dinov2_last_block_finetune	2023-06-15	10	12	120	100	4	16	0.8333333333333334	0.04911092294665537	0.04149026248941575	0.25	0.4166666666666667	0.4166666666666667	0.3333333333333333	0.25
2	nested_commissioned	dinov2_last_block_finetune	2023-06-15	20	12	239	186	11	42	0.7782426778242678	0.21253175275190517	0.06519898391193904	0.5	0.75	0.75	0.75	0.5
