seed	policy	file	date	weed_instances	accepted_candidates	role_qualified_candidates	candidate_precision	many_to_one_qualified_recalled	one_to_one_qualified_recalled	many_to_one_qualified_recall	one_to_one_qualified_recall	crop_overlap_scene
20260810	global_top_equal_fixed_budget	2023-05-30_0044	2023-05-30	46	15	14	0.9333333333333333	14	14	0.30434782608695654	0.30434782608695654	0
20260810	global_top_equal_fixed_budget	2023-05-30_0099	2023-05-30	52	20	17	0.85	17	17	0.3269230769230769	0.3269230769230769	0
20260810	global_top_equal_fixed_budget	2023-05-30_0114	2023-05-30	35	6	4	0.6666666666666666	5	4	0.14285714285714285	0.11428571428571428	0
20260810	global_top_equal_fixed_budget	2023-05-30_0649	2023-05-30	93	46	44	0.9565217391304348	55	44	0.5913978494623656	0.4731182795698925	0
20260810	global_top_equal_fixed_budget	2023-05-30_0652	2023-05-30	55	21	20	0.9523809523809523	22	20	0.4	0.36363636363636365	0
20260810	global_top_equal_fixed_budget	2023-05-30_0720	2023-05-30	49	28	28	1.0	33	28	0.673469387755102	0.5714285714285714	0
20260810	global_top_equal_fixed_budget	2023-05-30_0750	2023-05-30	67	33	32	0.9696969696969697	37	32	0.5522388059701493	0.47761194029850745	0
20260810	global_top_equal_fixed_budget	2023-06-06_0161	2023-06-06	101	40	39	0.975	46	37	0.45544554455445546	0.36633663366336633	0
20260810	global_top_equal_fixed_budget	2023-06-06_0166	2023-06-06	76	24	19	0.7916666666666666	24	19	0.3157894736842105	0.25	0
20260810	global_top_equal_fixed_budget	2023-06-06_0176	2023-06-06	150	65	58	0.8923076923076924	92	58	0.6133333333333333	0.38666666666666666	0
20260810	global_top_equal_fixed_budget	2023-06-06_0231	2023-06-06	65	26	21	0.8076923076923077	26	21	0.4	0.3230769230769231	0
20260810	global_top_equal_fixed_budget	2023-06-06_0667	2023-06-06	95	38	33	0.868421052631579	41	33	0.43157894736842106	0.3473684210526316	0
20260810	global_top_equal_fixed_budget	2023-06-06_0670	2023-06-06	96	44	42	0.9545454545454546	56	40	0.5833333333333334	0.4166666666666667	0
20260810	global_top_equal_fixed_budget	2023-06-06_0736	2023-06-06	69	25	25	1.0	38	24	0.5507246376811594	0.34782608695652173	0
20260810	global_top_equal_fixed_budget	2023-06-06_0770	2023-06-06	74	37	37	1.0	49	37	0.6621621621621622	0.5	0
20260810	global_top_equal_fixed_budget	2023-06-15_0169	2023-06-15	80	17	14	0.8235294117647058	26	13	0.325	0.1625	0
20260810	global_top_equal_fixed_budget	2023-06-15_0735	2023-06-15	74	3	3	1.0	3	3	0.04054054054054054	0.04054054054054054	0
20260810	validation_global_top520_score_threshold	2023-05-25_0109	2023-05-25	17	0	0	0.0	0	0	0.0	0.0	0
20260810	validation_global_top520_score_threshold	2023-05-25_0114	2023-05-25	17	2	2	1.0	2	2	0.11764705882352941	0.11764705882352941	0
20260810	validation_global_top520_score_threshold	2023-05-25_0170	2023-05-25	16	1	0	0.0	0	0	0.0	0.0	0
20260810	validation_global_top520_score_threshold	2023-05-25_0183	2023-05-25	9	0	0	0.0	0	0	0.0	0.0	0
20260810	validation_global_top520_score_threshold	2023-05-25_0681	2023-05-25	69	1	1	1.0	1	1	0.014492753623188406	0.014492753623188406	0
20260810	validation_global_top520_score_threshold	2023-05-25_0685	2023-05-25	114	1	1	1.0	2	1	0.017543859649122806	0.008771929824561403	0
20260810	validation_global_top520_score_threshold	2023-05-25_0750	2023-05-25	74	1	1	1.0	1	1	0.013513513513513514	0.013513513513513514	0
20260810	validation_global_top520_score_threshold	2023-05-25_0786	2023-05-25	76	0	0	0.0	0	0	0.0	0.0	0
20260810	validation_global_top520_score_threshold	2023-05-30_0039	2023-05-30	43	3	1	0.3333333333333333	1	1	0.023255813953488372	0.023255813953488372	0
20260810	validation_global_top520_score_threshold	2023-05-30_0044	2023-05-30	46	7	7	1.0	7	7	0.15217391304347827	0.15217391304347827	0
20260810	validation_global_top520_score_threshold	2023-05-30_0099	2023-05-30	52	9	8	0.8888888888888888	8	8	0.15384615384615385	0.15384615384615385	0
20260810	validation_global_top520_score_threshold	2023-05-30_0114	2023-05-30	35	4	3	0.75	4	3	0.11428571428571428	0.08571428571428572	0
20260810	validation_global_top520_score_threshold	2023-05-30_0649	2023-05-30	93	30	30	1.0	40	30	0.43010752688172044	0.3225806451612903	0
20260810	validation_global_top520_score_threshold	2023-05-30_0652	2023-05-30	55	11	11	1.0	12	11	0.21818181818181817	0.2	0
20260810	validation_global_top520_score_threshold	2023-05-30_0720	2023-05-30	49	24	24	1.0	29	24	0.5918367346938775	0.4897959183673469	0
20260810	validation_global_top520_score_threshold	2023-05-30_0750	2023-05-30	67	23	23	1.0	27	23	0.40298507462686567	0.34328358208955223	0
20260810	validation_global_top520_score_threshold	2023-06-06_0161	2023-06-06	101	24	24	1.0	30	24	0.297029702970297	0.2376237623762376	0
20260810	validation_global_top520_score_threshold	2023-06-06_0166	2023-06-06	76	7	7	1.0	7	7	0.09210526315789473	0.09210526315789473	0
20260810	validation_global_top520_score_threshold	2023-06-06_0176	2023-06-06	150	29	27	0.9310344827586207	34	27	0.22666666666666666	0.18	0
20260810	validation_global_top520_score_threshold	2023-06-06_0231	2023-06-06	65	22	19	0.8636363636363636	24	19	0.36923076923076925	0.2923076923076923	0
20260810	validation_global_top520_score_threshold	2023-06-06_0667	2023-06-06	95	33	30	0.9090909090909091	38	30	0.4	0.3157894736842105	0
20260810	validation_global_top520_score_threshold	2023-06-06_0670	2023-06-06	96	32	31	0.96875	45	31	0.46875	0.3229166666666667	0
20260810	validation_global_top520_score_threshold	2023-06-06_0736	2023-06-06	69	21	21	1.0	26	20	0.37681159420289856	0.2898550724637681	0
20260810	validation_global_top520_score_threshold	2023-06-06_0770	2023-06-06	74	34	34	1.0	45	34	0.6081081081081081	0.4594594594594595	0
20260810	validation_global_top520_score_threshold	2023-06-15_0169	2023-06-15	80	7	7	1.0	19	7	0.2375	0.0875	0
20260810	validation_global_top520_score_threshold	2023-06-15_0735	2023-06-15	74	1	1	1.0	1	1	0.013513513513513514	0.013513513513513514	0
20260811	bounded_global_min5_max50	2023-05-25_0109	2023-05-25	17	5	0	0.0	0	0	0.0	0.0	1
20260811	bounded_global_min5_max50	2023-05-25_0114	2023-05-25	17	5	4	0.8	4	4	0.23529411764705882	0.23529411764705882	0
20260811	bounded_global_min5_max50	2023-05-25_0170	2023-05-25	16	5	0	0.0	0	0	0.0	0.0	1
20260811	bounded_global_min5_max50	2023-05-25_0183	2023-05-25	9	5	2	0.4	2	2	0.2222222222222222	0.2222222222222222	0
20260811	bounded_global_min5_max50	2023-05-25_0681	2023-05-25	69	5	4	0.8	2	2	0.028985507246376812	0.028985507246376812	0
20260811	bounded_global_min5_max50	2023-05-25_0685	2023-05-25	114	5	3	0.6	4	3	0.03508771929824561	0.02631578947368421	0
20260811	bounded_global_min5_max50	2023-05-25_0750	2023-05-25	74	5	4	0.8	4	4	0.05405405405405406	0.05405405405405406	0
20260811	bounded_global_min5_max50	2023-05-25_0786	2023-05-25	76	5	5	1.0	5	5	0.06578947368421052	0.06578947368421052	0
20260811	bounded_global_min5_max50	2023-05-30_0039	2023-05-30	43	5	4	0.8	4	4	0.09302325581395349	0.09302325581395349	0
