model	k	stratum	minimum_iou	selected_candidates	weed_truth_instances	many_to_one_recalled_instances	many_to_one_queued_recall	one_to_one_matches	one_to_one_queued_recall
all_candidate_frozen_dinov2_linear	1	2023-05-30	0.75	8	440	0	0.0	0	0.0
all_candidate_frozen_dinov2_linear	1	2023-06-06	0.25	8	726	9	0.012396694214876033	8	0.011019283746556474
all_candidate_frozen_dinov2_linear	1	2023-06-06	0.5	8	726	6	0.008264462809917356	6	0.008264462809917356
all_candidate_frozen_dinov2_linear	1	2023-06-06	0.75	8	726	0	0.0	0	0.0
all_candidate_frozen_dinov2_linear	1	2023-06-15	0.25	2	154	2	0.012987012987012988	2	0.012987012987012988
all_candidate_frozen_dinov2_linear	1	2023-06-15	0.5	2	154	2	0.012987012987012988	2	0.012987012987012988
all_candidate_frozen_dinov2_linear	1	2023-06-15	0.75	2	154	0	0.0	0	0.0
all_candidate_frozen_dinov2_linear	5	ALL	0.25	130	1712	92	0.053738317757009345	88	0.0514018691588785
all_candidate_frozen_dinov2_linear	5	ALL	0.5	130	1712	59	0.0344626168224299	59	0.0344626168224299
all_candidate_frozen_dinov2_linear	5	ALL	0.75	130	1712	9	0.005257009345794392	9	0.005257009345794392
all_candidate_frozen_dinov2_linear	5	2023-05-25	0.25	40	392	11	0.02806122448979592	11	0.02806122448979592
all_candidate_frozen_dinov2_linear	5	2023-05-25	0.5	40	392	6	0.015306122448979591	6	0.015306122448979591
all_candidate_frozen_dinov2_linear	5	2023-05-25	0.75	40	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_frozen_dinov2_linear	5	2023-05-30	0.25	40	440	35	0.07954545454545454	33	0.075
all_candidate_frozen_dinov2_linear	5	2023-05-30	0.5	40	440	15	0.03409090909090909	15	0.03409090909090909
all_candidate_frozen_dinov2_linear	5	2023-05-30	0.75	40	440	1	0.0022727272727272726	1	0.0022727272727272726
all_candidate_frozen_dinov2_linear	5	2023-06-06	0.25	40	726	42	0.05785123966942149	40	0.05509641873278237
all_candidate_frozen_dinov2_linear	5	2023-06-06	0.5	40	726	34	0.046831955922865015	34	0.046831955922865015
all_candidate_frozen_dinov2_linear	5	2023-06-06	0.75	40	726	7	0.009641873278236915	7	0.009641873278236915
all_candidate_frozen_dinov2_linear	5	2023-06-15	0.25	10	154	4	0.025974025974025976	4	0.025974025974025976
all_candidate_frozen_dinov2_linear	5	2023-06-15	0.5	10	154	4	0.025974025974025976	4	0.025974025974025976
all_candidate_frozen_dinov2_linear	5	2023-06-15	0.75	10	154	0	0.0	0	0.0
all_candidate_frozen_dinov2_linear	10	ALL	0.25	260	1712	176	0.102803738317757	167	0.09754672897196262
all_candidate_frozen_dinov2_linear	10	ALL	0.5	260	1712	98	0.05724299065420561	98	0.05724299065420561
all_candidate_frozen_dinov2_linear	10	ALL	0.75	260	1712	17	0.009929906542056074	17	0.009929906542056074
all_candidate_frozen_dinov2_linear	10	2023-05-25	0.25	80	392	18	0.04591836734693878	18	0.04591836734693878
all_candidate_frozen_dinov2_linear	10	2023-05-25	0.5	80	392	7	0.017857142857142856	7	0.017857142857142856
all_candidate_frozen_dinov2_linear	10	2023-05-25	0.75	80	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_frozen_dinov2_linear	10	2023-05-30	0.25	80	440	65	0.14772727272727273	63	0.1431818181818182
all_candidate_frozen_dinov2_linear	10	2023-05-30	0.5	80	440	28	0.06363636363636363	28	0.06363636363636363
all_candidate_frozen_dinov2_linear	10	2023-05-30	0.75	80	440	1	0.0022727272727272726	1	0.0022727272727272726
all_candidate_frozen_dinov2_linear	10	2023-06-06	0.25	80	726	84	0.11570247933884298	78	0.10743801652892562
all_candidate_frozen_dinov2_linear	10	2023-06-06	0.5	80	726	57	0.07851239669421488	57	0.07851239669421488
all_candidate_frozen_dinov2_linear	10	2023-06-06	0.75	80	726	15	0.02066115702479339	15	0.02066115702479339
all_candidate_frozen_dinov2_linear	10	2023-06-15	0.25	20	154	9	0.05844155844155844	8	0.05194805194805195
all_candidate_frozen_dinov2_linear	10	2023-06-15	0.5	20	154	6	0.03896103896103896	6	0.03896103896103896
all_candidate_frozen_dinov2_linear	10	2023-06-15	0.75	20	154	0	0.0	0	0.0
all_candidate_frozen_dinov2_linear	20	ALL	0.25	520	1712	317	0.18516355140186916	301	0.1758177570093458
all_candidate_frozen_dinov2_linear	20	ALL	0.5	520	1712	160	0.09345794392523364	160	0.09345794392523364
all_candidate_frozen_dinov2_linear	20	ALL	0.75	520	1712	23	0.013434579439252336	23	0.013434579439252336
all_candidate_frozen_dinov2_linear	20	2023-05-25	0.25	160	392	23	0.058673469387755105	23	0.058673469387755105
all_candidate_frozen_dinov2_linear	20	2023-05-25	0.5	160	392	9	0.02295918367346939	9	0.02295918367346939
all_candidate_frozen_dinov2_linear	20	2023-05-25	0.75	160	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_frozen_dinov2_linear	20	2023-05-30	0.25	160	440	114	0.2590909090909091	112	0.2545454545454545
