model	k	stratum	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	selected_candidates	weed_truth_instances	many_to_one_recalled_instances	many_to_one_queued_recall	one_to_one_matches	one_to_one_queued_recall
all_candidate_role_plus_local_logistic	1	2023-05-30	0.5	0.25	0.5	8	440	6	0.013636363636363636	6	0.013636363636363636
all_candidate_role_plus_local_logistic	1	2023-05-30	0.5	0.25	0.75	8	440	6	0.013636363636363636	6	0.013636363636363636
all_candidate_role_plus_local_logistic	1	2023-05-30	0.5	0.25	0.9	8	440	6	0.013636363636363636	6	0.013636363636363636
all_candidate_role_plus_local_logistic	1	2023-05-30	0.5	0.5	0.5	8	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	1	2023-05-30	0.5	0.5	0.75	8	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	1	2023-05-30	0.5	0.5	0.9	8	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	1	2023-05-30	0.5	0.75	0.5	8	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_role_plus_local_logistic	1	2023-05-30	0.5	0.75	0.75	8	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_role_plus_local_logistic	1	2023-05-30	0.5	0.75	0.9	8	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_role_plus_local_logistic	1	2023-05-30	0.75	0.25	0.5	8	440	6	0.013636363636363636	6	0.013636363636363636
all_candidate_role_plus_local_logistic	1	2023-05-30	0.75	0.25	0.75	8	440	6	0.013636363636363636	6	0.013636363636363636
all_candidate_role_plus_local_logistic	1	2023-05-30	0.75	0.25	0.9	8	440	6	0.013636363636363636	6	0.013636363636363636
all_candidate_role_plus_local_logistic	1	2023-05-30	0.75	0.5	0.5	8	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	1	2023-05-30	0.75	0.5	0.75	8	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	1	2023-05-30	0.75	0.5	0.9	8	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	1	2023-05-30	0.75	0.75	0.5	8	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_role_plus_local_logistic	1	2023-05-30	0.75	0.75	0.75	8	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_role_plus_local_logistic	1	2023-05-30	0.75	0.75	0.9	8	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_role_plus_local_logistic	1	2023-06-06	0.25	0.25	0.5	8	726	39	0.05371900826446281	6	0.008264462809917356
all_candidate_role_plus_local_logistic	1	2023-06-06	0.25	0.25	0.75	8	726	5	0.006887052341597796	5	0.006887052341597796
all_candidate_role_plus_local_logistic	1	2023-06-06	0.25	0.25	0.9	8	726	5	0.006887052341597796	5	0.006887052341597796
all_candidate_role_plus_local_logistic	1	2023-06-06	0.25	0.5	0.5	8	726	39	0.05371900826446281	6	0.008264462809917356
all_candidate_role_plus_local_logistic	1	2023-06-06	0.25	0.5	0.75	8	726	5	0.006887052341597796	5	0.006887052341597796
all_candidate_role_plus_local_logistic	1	2023-06-06	0.25	0.5	0.9	8	726	5	0.006887052341597796	5	0.006887052341597796
all_candidate_role_plus_local_logistic	1	2023-06-06	0.25	0.75	0.5	8	726	3	0.004132231404958678	3	0.004132231404958678
all_candidate_role_plus_local_logistic	1	2023-06-06	0.25	0.75	0.75	8	726	3	0.004132231404958678	3	0.004132231404958678
all_candidate_role_plus_local_logistic	1	2023-06-06	0.25	0.75	0.9	8	726	3	0.004132231404958678	3	0.004132231404958678
all_candidate_role_plus_local_logistic	1	2023-06-06	0.5	0.25	0.5	8	726	39	0.05371900826446281	6	0.008264462809917356
all_candidate_role_plus_local_logistic	1	2023-06-06	0.5	0.25	0.75	8	726	5	0.006887052341597796	5	0.006887052341597796
all_candidate_role_plus_local_logistic	1	2023-06-06	0.5	0.25	0.9	8	726	5	0.006887052341597796	5	0.006887052341597796
all_candidate_role_plus_local_logistic	1	2023-06-06	0.5	0.5	0.5	8	726	39	0.05371900826446281	6	0.008264462809917356
all_candidate_role_plus_local_logistic	1	2023-06-06	0.5	0.5	0.75	8	726	5	0.006887052341597796	5	0.006887052341597796
all_candidate_role_plus_local_logistic	1	2023-06-06	0.5	0.5	0.9	8	726	5	0.006887052341597796	5	0.006887052341597796
all_candidate_role_plus_local_logistic	1	2023-06-06	0.5	0.75	0.5	8	726	3	0.004132231404958678	3	0.004132231404958678
all_candidate_role_plus_local_logistic	1	2023-06-06	0.5	0.75	0.75	8	726	3	0.004132231404958678	3	0.004132231404958678
all_candidate_role_plus_local_logistic	1	2023-06-06	0.5	0.75	0.9	8	726	3	0.004132231404958678	3	0.004132231404958678
all_candidate_role_plus_local_logistic	1	2023-06-06	0.75	0.25	0.5	8	726	33	0.045454545454545456	4	0.005509641873278237
all_candidate_role_plus_local_logistic	1	2023-06-06	0.75	0.25	0.75	8	726	3	0.004132231404958678	3	0.004132231404958678
all_candidate_role_plus_local_logistic	1	2023-06-06	0.75	0.25	0.9	8	726	3	0.004132231404958678	3	0.004132231404958678
all_candidate_role_plus_local_logistic	1	2023-06-06	0.75	0.5	0.5	8	726	33	0.045454545454545456	4	0.005509641873278237
all_candidate_role_plus_local_logistic	1	2023-06-06	0.75	0.5	0.75	8	726	3	0.004132231404958678	3	0.004132231404958678
all_candidate_role_plus_local_logistic	1	2023-06-06	0.75	0.5	0.9	8	726	3	0.004132231404958678	3	0.004132231404958678
all_candidate_role_plus_local_logistic	1	2023-06-06	0.75	0.75	0.5	8	726	1	0.0013774104683195593	1	0.0013774104683195593
all_candidate_role_plus_local_logistic	1	2023-06-06	0.75	0.75	0.75	8	726	1	0.0013774104683195593	1	0.0013774104683195593
all_candidate_role_plus_local_logistic	1	2023-06-06	0.75	0.75	0.9	8	726	1	0.0013774104683195593	1	0.0013774104683195593
all_candidate_role_plus_local_logistic	1	2023-06-15	0.25	0.25	0.5	2	154	68	0.44155844155844154	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.25	0.25	0.75	2	154	68	0.44155844155844154	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.25	0.25	0.9	2	154	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-06-15	0.25	0.5	0.5	2	154	68	0.44155844155844154	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.25	0.5	0.75	2	154	68	0.44155844155844154	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.25	0.5	0.9	2	154	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-06-15	0.25	0.75	0.5	2	154	68	0.44155844155844154	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.25	0.75	0.75	2	154	68	0.44155844155844154	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.25	0.75	0.9	2	154	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-06-15	0.5	0.25	0.5	2	154	66	0.42857142857142855	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.5	0.25	0.75	2	154	66	0.42857142857142855	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.5	0.25	0.9	2	154	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-06-15	0.5	0.5	0.5	2	154	66	0.42857142857142855	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.5	0.5	0.75	2	154	66	0.42857142857142855	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.5	0.5	0.9	2	154	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-06-15	0.5	0.75	0.5	2	154	66	0.42857142857142855	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.5	0.75	0.75	2	154	66	0.42857142857142855	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.5	0.75	0.9	2	154	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-06-15	0.75	0.25	0.5	2	154	61	0.3961038961038961	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.75	0.25	0.75	2	154	61	0.3961038961038961	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.75	0.25	0.9	2	154	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-06-15	0.75	0.5	0.5	2	154	61	0.3961038961038961	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.75	0.5	0.75	2	154	61	0.3961038961038961	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.75	0.5	0.9	2	154	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	1	2023-06-15	0.75	0.75	0.5	2	154	61	0.3961038961038961	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.75	0.75	0.75	2	154	61	0.3961038961038961	1	0.006493506493506494
all_candidate_role_plus_local_logistic	1	2023-06-15	0.75	0.75	0.9	2	154	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	5	ALL	0.25	0.25	0.5	130	1712	199	0.11623831775700935	75	0.04380841121495327
all_candidate_role_plus_local_logistic	5	ALL	0.25	0.25	0.75	130	1712	163	0.09521028037383178	73	0.04264018691588785
all_candidate_role_plus_local_logistic	5	ALL	0.25	0.25	0.9	130	1712	94	0.054906542056074766	71	0.04147196261682243
all_candidate_role_plus_local_logistic	5	ALL	0.25	0.5	0.5	130	1712	188	0.10981308411214953	65	0.037967289719626166
all_candidate_role_plus_local_logistic	5	ALL	0.25	0.5	0.75	130	1712	152	0.08878504672897196	63	0.036799065420560745
all_candidate_role_plus_local_logistic	5	ALL	0.25	0.5	0.9	130	1712	83	0.04848130841121495	61	0.035630841121495324
all_candidate_role_plus_local_logistic	5	ALL	0.25	0.75	0.5	130	1712	109	0.06366822429906542	28	0.016355140186915886
all_candidate_role_plus_local_logistic	5	ALL	0.25	0.75	0.75	130	1712	109	0.06366822429906542	28	0.016355140186915886
all_candidate_role_plus_local_logistic	5	ALL	0.25	0.75	0.9	130	1712	40	0.02336448598130841	26	0.015186915887850467
all_candidate_role_plus_local_logistic	5	ALL	0.5	0.25	0.5	130	1712	188	0.10981308411214953	70	0.04088785046728972
all_candidate_role_plus_local_logistic	5	ALL	0.5	0.25	0.75	130	1712	152	0.08878504672897196	68	0.0397196261682243
all_candidate_role_plus_local_logistic	5	ALL	0.5	0.25	0.9	130	1712	85	0.04964953271028037	66	0.038551401869158876
all_candidate_role_plus_local_logistic	5	ALL	0.5	0.5	0.5	130	1712	178	0.10397196261682243	61	0.035630841121495324
all_candidate_role_plus_local_logistic	5	ALL	0.5	0.5	0.75	130	1712	142	0.08294392523364486	59	0.0344626168224299
all_candidate_role_plus_local_logistic	5	ALL	0.5	0.5	0.9	130	1712	75	0.04380841121495327	57	0.03329439252336448
all_candidate_role_plus_local_logistic	5	ALL	0.5	0.75	0.5	130	1712	104	0.06074766355140187	26	0.015186915887850467
all_candidate_role_plus_local_logistic	5	ALL	0.5	0.75	0.75	130	1712	104	0.06074766355140187	26	0.015186915887850467
all_candidate_role_plus_local_logistic	5	ALL	0.5	0.75	0.9	130	1712	37	0.02161214953271028	24	0.014018691588785047
all_candidate_role_plus_local_logistic	5	ALL	0.75	0.25	0.5	130	1712	160	0.09345794392523364	56	0.03271028037383177
all_candidate_role_plus_local_logistic	5	ALL	0.75	0.25	0.75	130	1712	129	0.07535046728971963	54	0.03154205607476635
all_candidate_role_plus_local_logistic	5	ALL	0.75	0.25	0.9	130	1712	68	0.0397196261682243	53	0.030957943925233645
all_candidate_role_plus_local_logistic	5	ALL	0.75	0.5	0.5	130	1712	151	0.08820093457943926	48	0.028037383177570093
