repeat	seed	k	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
298	2026081000	20	pooled_test	ALL	26	520	135	0.2596153846153846	1712	315	0.1839953271028037	138	0.080607476635514	158	0.0922897196261682	102	0.0595794392523364	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	16	0.6153846153846154
299	2026081000	20	pooled_test	ALL	26	520	134	0.2576923076923076	1712	334	0.1950934579439252	141	0.0823598130841121	160	0.0934579439252336	102	0.0595794392523364	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	14	0.5384615384615384
300	2026081000	20	pooled_test	ALL	26	520	137	0.2634615384615384	1712	295	0.1723130841121495	154	0.0899532710280373	161	0.0940420560747663	104	0.0607476635514018	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	14	0.5384615384615384
301	2026081000	20	pooled_test	ALL	26	520	142	0.273076923076923	1712	351	0.2050233644859813	153	0.0893691588785046	169	0.098714953271028	108	0.0630841121495327	17	0.6538461538461539	17	0.6538461538461539	17	0.6538461538461539	12	0.4615384615384615
302	2026081000	20	pooled_test	ALL	26	520	138	0.2653846153846154	1712	369	0.2155373831775701	156	0.0911214953271028	178	0.1039719626168224	109	0.0636682242990654	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	14	0.5384615384615384
303	2026081000	20	pooled_test	ALL	26	520	134	0.2576923076923076	1712	292	0.1705607476635514	139	0.0811915887850467	159	0.0928738317757009	97	0.0566588785046729	18	0.6923076923076923	18	0.6923076923076923	18	0.6923076923076923	14	0.5384615384615384
304	2026081000	20	pooled_test	ALL	26	520	149	0.2865384615384615	1712	321	0.1875	158	0.0922897196261682	162	0.094626168224299	116	0.0677570093457943	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	14	0.5384615384615384
305	2026081000	20	pooled_test	ALL	26	520	144	0.2769230769230769	1712	301	0.1758177570093458	149	0.0870327102803738	167	0.0975467289719626	104	0.0607476635514018	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	15	0.5769230769230769
306	2026081000	20	pooled_test	ALL	26	520	125	0.2403846153846154	1712	331	0.1933411214953271	132	0.0771028037383177	158	0.0922897196261682	94	0.0549065420560747	17	0.6538461538461539	17	0.6538461538461539	16	0.6153846153846154	12	0.4615384615384615
307	2026081000	20	pooled_test	ALL	26	520	133	0.2557692307692307	1712	316	0.1845794392523364	162	0.094626168224299	170	0.0992990654205607	109	0.0636682242990654	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	16	0.6153846153846154
308	2026081000	20	pooled_test	ALL	26	520	144	0.2769230769230769	1712	334	0.1950934579439252	155	0.0905373831775701	168	0.0981308411214953	111	0.0648364485981308	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	16	0.6153846153846154
309	2026081000	20	pooled_test	ALL	26	520	140	0.2692307692307692	1712	302	0.1764018691588785	152	0.0887850467289719	162	0.094626168224299	100	0.058411214953271	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	14	0.5384615384615384
310	2026081000	20	pooled_test	ALL	26	520	138	0.2653846153846154	1712	318	0.1857476635514018	149	0.0870327102803738	172	0.1004672897196261	104	0.0607476635514018	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	17	0.6538461538461539
311	2026081000	20	pooled_test	ALL	26	520	141	0.2711538461538461	1712	344	0.2009345794392523	160	0.0934579439252336	166	0.0969626168224299	109	0.0636682242990654	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	12	0.4615384615384615
312	2026081000	20	pooled_test	ALL	26	520	127	0.2442307692307692	1712	302	0.1764018691588785	145	0.084696261682243	164	0.0957943925233644	96	0.0560747663551401	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	13	0.5
313	2026081000	20	pooled_test	ALL	26	520	133	0.2557692307692307	1712	318	0.1857476635514018	138	0.080607476635514	154	0.0899532710280373	96	0.0560747663551401	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	16	0.6153846153846154
314	2026081000	20	pooled_test	ALL	26	520	137	0.2634615384615384	1712	349	0.2038551401869159	144	0.0841121495327102	169	0.098714953271028	107	0.0625	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	12	0.4615384615384615
315	2026081000	20	pooled_test	ALL	26	520	154	0.2961538461538461	1712	323	0.1886682242990654	163	0.0952102803738317	171	0.0998831775700934	114	0.0665887850467289	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	15	0.5769230769230769
316	2026081000	20	pooled_test	ALL	26	520	155	0.2980769230769231	1712	349	0.2038551401869159	181	0.1057242990654205	185	0.1080607476635514	125	0.0730140186915887	22	0.8461538461538461	22	0.8461538461538461	21	0.8076923076923077	10	0.3846153846153846
317	2026081000	20	pooled_test	ALL	26	520	142	0.273076923076923	1712	331	0.1933411214953271	156	0.0911214953271028	171	0.0998831775700934	110	0.0642523364485981	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	15	0.5769230769230769
318	2026081000	20	pooled_test	ALL	26	520	135	0.2596153846153846	1712	299	0.1746495327102804	139	0.0811915887850467	163	0.0952102803738317	106	0.0619158878504672	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	14	0.5384615384615384
319	2026081000	20	pooled_test	ALL	26	520	134	0.2576923076923076	1712	311	0.1816588785046729	148	0.0864485981308411	169	0.098714953271028	106	0.0619158878504672	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	12	0.4615384615384615
320	2026081000	20	pooled_test	ALL	26	520	139	0.2673076923076923	1712	311	0.1816588785046729	164	0.0957943925233644	167	0.0975467289719626	108	0.0630841121495327	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	12	0.4615384615384615
321	2026081000	20	pooled_test	ALL	26	520	118	0.2269230769230769	1712	325	0.1898364485981308	116	0.0677570093457943	162	0.094626168224299	89	0.0519859813084112	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	15	0.5769230769230769
322	2026081000	20	pooled_test	ALL	26	520	133	0.2557692307692307	1712	267	0.1559579439252336	121	0.0706775700934579	155	0.0905373831775701	93	0.054322429906542	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	13	0.5
323	2026081000	20	pooled_test	ALL	26	520	139	0.2673076923076923	1712	359	0.2096962616822429	167	0.0975467289719626	182	0.1063084112149532	112	0.0654205607476635	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	13	0.5
324	2026081000	20	pooled_test	ALL	26	520	139	0.2673076923076923	1712	334	0.1950934579439252	155	0.0905373831775701	172	0.1004672897196261	109	0.0636682242990654	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	13	0.5
325	2026081000	20	pooled_test	ALL	26	520	128	0.2461538461538461	1712	357	0.2085280373831775	139	0.0811915887850467	170	0.0992990654205607	98	0.0572429906542056	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	17	0.6538461538461539
326	2026081000	20	pooled_test	ALL	26	520	154	0.2961538461538461	1712	272	0.1588785046728972	168	0.0981308411214953	170	0.0992990654205607	116	0.0677570093457943	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	12	0.4615384615384615
327	2026081000	20	pooled_test	ALL	26	520	137	0.2634615384615384	1712	305	0.1781542056074766	142	0.0829439252336448	173	0.1010514018691588	105	0.0613317757009345	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	13	0.5
328	2026081000	20	pooled_test	ALL	26	520	137	0.2634615384615384	1712	335	0.1956775700934579	139	0.0811915887850467	169	0.098714953271028	102	0.0595794392523364	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	16	0.6153846153846154
329	2026081000	20	pooled_test	ALL	26	520	129	0.248076923076923	1712	298	0.1740654205607476	136	0.0794392523364486	165	0.0963785046728972	97	0.0566588785046729	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	14	0.5384615384615384
330	2026081000	20	pooled_test	ALL	26	520	144	0.2769230769230769	1712	365	0.2132009345794392	178	0.1039719626168224	168	0.0981308411214953	115	0.0671728971962616	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	17	0.6538461538461539
331	2026081000	20	pooled_test	ALL	26	520	129	0.248076923076923	1712	282	0.1647196261682243	135	0.0788551401869158	158	0.0922897196261682	104	0.0607476635514018	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	15	0.5769230769230769
332	2026081000	20	pooled_test	ALL	26	520	140	0.2692307692307692	1712	304	0.1775700934579439	144	0.0841121495327102	159	0.0928738317757009	106	0.0619158878504672	23	0.8846153846153846	23	0.8846153846153846	23	0.8846153846153846	18	0.6923076923076923
333	2026081000	20	pooled_test	ALL	26	520	151	0.2903846153846154	1712	321	0.1875	166	0.0969626168224299	168	0.0981308411214953	114	0.0665887850467289	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	13	0.5
334	2026081000	20	pooled_test	ALL	26	520	130	0.25	1712	344	0.2009345794392523	135	0.0788551401869158	162	0.094626168224299	95	0.0554906542056074	23	0.8846153846153846	23	0.8846153846153846	23	0.8846153846153846	10	0.3846153846153846
335	2026081000	20	pooled_test	ALL	26	520	128	0.2461538461538461	1712	298	0.1740654205607476	139	0.0811915887850467	158	0.0922897196261682	92	0.0537383177570093	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	14	0.5384615384615384
336	2026081000	20	pooled_test	ALL	26	520	152	0.2923076923076923	1712	334	0.1950934579439252	170	0.0992990654205607	168	0.0981308411214953	117	0.0683411214953271	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	15	0.5769230769230769
337	2026081000	20	pooled_test	ALL	26	520	146	0.2807692307692307	1712	294	0.1717289719626168	162	0.094626168224299	160	0.0934579439252336	110	0.0642523364485981	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	13	0.5
338	2026081000	20	pooled_test	ALL	26	520	144	0.2769230769230769	1712	313	0.1828271028037383	171	0.0998831775700934	177	0.1033878504672897	114	0.0665887850467289	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	15	0.5769230769230769
339	2026081000	20	pooled_test	ALL	26	520	140	0.2692307692307692	1712	324	0.1892523364485981	141	0.0823598130841121	158	0.0922897196261682	101	0.0589953271028037	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	14	0.5384615384615384
340	2026081000	20	pooled_test	ALL	26	520	136	0.2615384615384615	1712	284	0.1658878504672897	141	0.0823598130841121	159	0.0928738317757009	104	0.0607476635514018	17	0.6538461538461539	17	0.6538461538461539	17	0.6538461538461539	11	0.4230769230769231
341	2026081000	20	pooled_test	ALL	26	520	134	0.2576923076923076	1712	310	0.1810747663551402	143	0.0835280373831775	163	0.0952102803738317	99	0.0578271028037383	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	16	0.6153846153846154
342	2026081000	20	pooled_test	ALL	26	520	130	0.25	1712	271	0.1582943925233645	129	0.0753504672897196	155	0.0905373831775701	96	0.0560747663551401	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	13	0.5
343	2026081000	20	pooled_test	ALL	26	520	132	0.2538461538461538	1712	355	0.2073598130841121	146	0.0852803738317757	166	0.0969626168224299	96	0.0560747663551401	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	16	0.6153846153846154
344	2026081000	20	pooled_test	ALL	26	520	128	0.2461538461538461	1712	310	0.1810747663551402	132	0.0771028037383177	164	0.0957943925233644	98	0.0572429906542056	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	16	0.6153846153846154
345	2026081000	20	pooled_test	ALL	26	520	148	0.2846153846153846	1712	316	0.1845794392523364	166	0.0969626168224299	164	0.0957943925233644	112	0.0654205607476635	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	11	0.4230769230769231
346	2026081000	20	pooled_test	ALL	26	520	134	0.2576923076923076	1712	327	0.1910046728971962	138	0.080607476635514	174	0.1016355140186915	102	0.0595794392523364	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	12	0.4615384615384615
