strategy	uses_labels_for_selection	repeat	seed	screened_training_pool	labels_revealed	selected_ids_sha256	selected_c	test_all_candidate_roc_auc	test_all_candidate_average_precision	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
retrospective_class_stratified	1	6	2026081006	9887	300	99df7e12c163024c81c631f612395805d8d018a7c7046d10443b553b196c7243	0.1	0.9551468304003802	0.84373478240908	pooled_test	ALL	26	520	271	0.5211538461538462	1712	425	0.2482476635514018	293	0.1711448598130841	286	0.1670560747663551	222	0.1296728971962616	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
prospective_uniform	0	7	2026081007	9887	300	4a01530a28f08a4a2e7efde4ea91164a8d8148fdb9cd35bf78ba43ca58021565	0.1	0.9539281928987812	0.8407337160377037	pooled_test	ALL	26	520	264	0.5076923076923077	1712	426	0.2488317757009346	290	0.169392523364486	283	0.165303738317757	214	0.125	13	0.5	13	0.5	13	0.5	11	0.4230769230769231
prospective_dinov2_coreset	0	7	2026081007	9887	300	6f0b4f9ef455d0a034ca1eb9c8bd548c4b9e3d1fcc23f477b74ff243d75347ea	0.01	0.9550406136359484	0.8564814508051036	pooled_test	ALL	26	520	272	0.5230769230769231	1712	430	0.2511682242990654	293	0.1711448598130841	286	0.1670560747663551	220	0.1285046728971962	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
retrospective_class_stratified	1	7	2026081007	9887	300	04a071f69487ad33516128c83cea7eb394adaf99a998afe4ef3872bea908e7d8	0.1	0.953092164172286	0.840351123290001	pooled_test	ALL	26	520	268	0.5153846153846153	1712	432	0.2523364485981308	297	0.1734813084112149	287	0.1676401869158878	219	0.1279205607476635	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
prospective_uniform	0	8	2026081008	9887	300	37b77b15c619f102616a092a0d2bdadbd803feed0a8e4069d4bfc681437ba2e1	0.01	0.9543439230305356	0.8529223782978989	pooled_test	ALL	26	520	276	0.5307692307692308	1712	430	0.2511682242990654	297	0.1734813084112149	287	0.1676401869158878	225	0.1314252336448598	13	0.5	13	0.5	13	0.5	11	0.4230769230769231
prospective_dinov2_coreset	0	8	2026081008	9887	300	a3ee6112e8079965154f2e15f77f7e1e6181d1cfc599a44b375087be07e14879	0.01	0.9567869086124664	0.8622938213233416	pooled_test	ALL	26	520	278	0.5346153846153846	1712	430	0.2511682242990654	304	0.1775700934579439	283	0.165303738317757	226	0.1320093457943925	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
retrospective_class_stratified	1	8	2026081008	9887	300	f264ec148c2bbe1ca939106a1dec02001a2b09f83be88dc04575bb044fd0a201	0.1	0.9532680499972588	0.8460746198828959	pooled_test	ALL	26	520	270	0.5192307692307693	1712	423	0.2470794392523364	296	0.1728971962616822	282	0.1647196261682243	221	0.1290887850467289	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	10	0.3846153846153846
prospective_uniform	0	9	2026081009	9887	300	9a0820ef702fd45c496cfd04dc51f0a753a6f097768aa5be57345d67663cbfbb	0.01	0.9562889461469584	0.8611151810695012	pooled_test	ALL	26	520	276	0.5307692307692308	1712	436	0.2546728971962617	304	0.1775700934579439	288	0.1682242990654205	226	0.1320093457943925	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	11	0.4230769230769231
prospective_dinov2_coreset	0	9	2026081009	9887	300	80dd726aeb6094e383034d357a6f0b31705c475b6b1e81acacb849d16aad5033	0.01	0.9567332291723772	0.8609582479149526	pooled_test	ALL	26	520	277	0.5326923076923077	1712	428	0.25	302	0.1764018691588785	281	0.1641355140186916	224	0.1308411214953271	13	0.5	13	0.5	13	0.5	11	0.4230769230769231
retrospective_class_stratified	1	9	2026081009	9887	300	e940fab230548f7bd6ce30ffe789a3dbf98c1c7fdd1abd1fdf8ef41e27976758	0.1	0.95075767958628	0.8382035858349877	pooled_test	ALL	26	520	265	0.5096153846153846	1712	432	0.2523364485981308	295	0.1723130841121495	284	0.1658878504672897	216	0.1261682242990654	12	0.4615384615384615	12	0.4615384615384615	12	0.4615384615384615	10	0.3846153846153846
