model	seed	file	date	weed_instances	accepted_candidates	eligible_candidates	spatial_recalled	set_coverage_recalled	one_to_one_recalled	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_at_0.00	crop_exposure_at_0.01	crop_exposure_at_0.10	AR100_IoU_0.50	AR20_IoU_0.50	AR100_IoU_0.55	AR20_IoU_0.55	AR100_IoU_0.60	AR20_IoU_0.60	AR100_IoU_0.65	AR20_IoU_0.65	AR100_IoU_0.70	AR20_IoU_0.70	AR100_IoU_0.75	AR20_IoU_0.75	AR100_IoU_0.80	AR20_IoU_0.80	AR100_IoU_0.85	AR20_IoU_0.85	AR100_IoU_0.90	AR20_IoU_0.90	AR100_IoU_0.95	AR20_IoU_0.95
DeepLabV3+--ResNet50	20260820	2023-05-30_0114	2023-05-30	35	20	9	18	10	9	0.45	0.5142857142857142	0.2857142857142857	0.2571428571428571	0	0	0	0.2	0.2	0.2	0.2	0.11428571428571428	0.11428571428571428	0.02857142857142857	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260820	2023-05-25_0183	2023-05-25	9	17	2	3	2	2	0.11764705882352941	0.3333333333333333	0.2222222222222222	0.2222222222222222	1	1	1	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260820	2023-06-06_0166	2023-06-06	76	20	11	23	14	11	0.55	0.3026315789473684	0.18421052631578946	0.14473684210526316	0	0	0	0.32894736842105265	0.10526315789473684	0.19736842105263158	0.06578947368421052	0.11842105263157894	0.05263157894736842	0.06578947368421052	0.02631578947368421	0.013157894736842105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260820	2023-05-30_0039	2023-05-30	43	20	9	17	7	7	0.45	0.3953488372093023	0.16279069767441862	0.16279069767441862	0	0	0	0.16279069767441862	0.13953488372093023	0.09302325581395349	0.09302325581395349	0.023255813953488372	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260820	2023-05-25_0109	2023-05-25	17	17	1	5	1	1	0.058823529411764705	0.29411764705882354	0.058823529411764705	0.058823529411764705	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-06-15_0735	2023-06-15	74	20	3	1	1	1	0.15	0.013513513513513514	0.013513513513513514	0.013513513513513514	0	0	0	0.05405405405405406	0.013513513513513514	0.05405405405405406	0.013513513513513514	0.05405405405405406	0.013513513513513514	0.05405405405405406	0.013513513513513514	0.04054054054054054	0.013513513513513514	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-06-06_0736	2023-06-06	69	20	19	29	29	18	0.95	0.42028985507246375	0.42028985507246375	0.2608695652173913	0	0	0	0.36231884057971014	0.2318840579710145	0.3188405797101449	0.2028985507246377	0.30434782608695654	0.18840579710144928	0.2898550724637681	0.18840579710144928	0.2753623188405797	0.17391304347826086	0.2028985507246377	0.13043478260869565	0.14492753623188406	0.08695652173913043	0.07246376811594203	0.057971014492753624	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-30_0720	2023-05-30	49	20	19	24	24	19	0.95	0.4897959183673469	0.4897959183673469	0.3877551020408163	0	0	0	0.5714285714285714	0.30612244897959184	0.4897959183673469	0.22448979591836735	0.30612244897959184	0.14285714285714285	0.22448979591836735	0.061224489795918366	0.16326530612244897	0.04081632653061224	0.10204081632653061	0.04081632653061224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-25_0750	2023-05-25	74	20	12	11	10	9	0.6	0.14864864864864866	0.13513513513513514	0.12162162162162163	1	1	1	0.06756756756756757	0.06756756756756757	0.06756756756756757	0.06756756756756757	0.05405405405405406	0.05405405405405406	0.04054054054054054	0.04054054054054054	0.013513513513513514	0.013513513513513514	0.013513513513513514	0.013513513513513514	0.013513513513513514	0.013513513513513514	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-06-06_0770	2023-06-06	74	20	20	27	27	20	1.0	0.36486486486486486	0.36486486486486486	0.2702702702702703	0	0	0	0.4189189189189189	0.20270270270270271	0.40540540540540543	0.20270270270270271	0.3783783783783784	0.20270270270270271	0.36486486486486486	0.1891891891891892	0.32432432432432434	0.17567567567567569	0.24324324324324326	0.13513513513513514	0.20270270270270271	0.12162162162162163	0.12162162162162163	0.08108108108108109	0.0	0.0	0.0	0.0
