model	instance_coverage	candidate_labeled_coverage	same_role_purity	seeds	mean_candidate_precision	sd_candidate_precision	mean_spatial_recall	sd_spatial_recall	mean_set_coverage_recall	sd_set_coverage_recall	mean_one_to_one_recall	sd_one_to_one_recall	mean_crop_exposure_scene_frequency_at_0.00	sd_crop_exposure_scene_frequency_at_0.00	mean_crop_exposure_scene_frequency_at_0.01	sd_crop_exposure_scene_frequency_at_0.01	mean_crop_exposure_scene_frequency_at_0.10	sd_crop_exposure_scene_frequency_at_0.10
Mask R-CNN--ResNet50-FPN-v2	0.5	0.25	0.75	3	0.8474358974358974	0.006181827410892898	0.24143302180685358	0.004102668906874113	0.24084890965732086	0.004102668906874113	0.2297507788161994	0.006300112806605702	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.5	0.25	0.9	3	0.8455128205128205	0.006181827410892898	0.24143302180685358	0.004102668906874113	0.2398753894080997	0.004967815740721592	0.22916666666666666	0.006245722325679691	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.5	0.5	0.5	3	0.791025641025641	0.012363654821785836	0.24143302180685358	0.004102668906874113	0.22683021806853584	0.004685050395450143	0.21651090342679127	0.0033214022798348846	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.5	0.5	0.75	3	0.791025641025641	0.012363654821785836	0.24143302180685358	0.004102668906874113	0.22683021806853584	0.004685050395450143	0.21651090342679127	0.0033214022798348846	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.5	0.5	0.9	3	0.7891025641025641	0.014175220761215364	0.24143302180685358	0.004102668906874113	0.22585669781931464	0.00526781513180244	0.21592679127725858	0.0037553157168975716	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.5	0.75	0.5	3	0.5064102564102564	0.02728691878691378	0.24143302180685358	0.004102668906874113	0.14758566978193147	0.007778420699158163	0.14077102803738317	0.0065043976201285235	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.5	0.75	0.75	3	0.5064102564102564	0.02728691878691378	0.24143302180685358	0.004102668906874113	0.14758566978193147	0.007778420699158163	0.14077102803738317	0.0065043976201285235	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.5	0.75	0.9	3	0.5051282051282051	0.029375485224075903	0.24143302180685358	0.004102668906874113	0.14719626168224298	0.008424185223046705	0.1403816199376947	0.007041721697829098	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.75	0.25	0.5	3	0.8474358974358974	0.006181827410892898	0.16802959501557632	0.016063969106178598	0.16744548286604363	0.016063969106178584	0.1610202492211838	0.017232133408625772	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.75	0.25	0.75	3	0.8474358974358974	0.006181827410892898	0.16802959501557632	0.016063969106178598	0.16744548286604363	0.016063969106178584	0.1610202492211838	0.017232133408625772	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
