variant	global_N	images	weed_instances	accepted_candidates	mean_candidates_per_image	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
original_T095_A032	51	26	1712	51	1.9615384615384615	0.803921568627451	0.04147196261682243	0.0227803738317757	0.014018691588785047	0.3076923076923077
commissioned_T070_A032	51	26	1712	51	1.9615384615384615	0.8235294117647058	0.0963785046728972	0.03154205607476635	0.019275700934579438	0.23076923076923078
original_T095_A032	52	26	1712	52	2.0	0.8076923076923077	0.04205607476635514	0.02336448598130841	0.014602803738317757	0.3076923076923077
commissioned_T070_A032	52	26	1712	52	2.0	0.8269230769230769	0.0969626168224299	0.03212616822429906	0.01985981308411215	0.23076923076923078
original_T095_A032	53	26	1712	53	2.0384615384615383	0.7924528301886793	0.07359813084112149	0.02336448598130841	0.014602803738317757	0.34615384615384615
commissioned_T070_A032	53	26	1712	53	2.0384615384615383	0.8301886792452831	0.09754672897196262	0.03271028037383177	0.02044392523364486	0.23076923076923078
original_T095_A032	54	26	1712	54	2.076923076923077	0.7962962962962963	0.07593457943925233	0.02570093457943925	0.015186915887850467	0.34615384615384615
commissioned_T070_A032	54	26	1712	54	2.076923076923077	0.8333333333333334	0.09813084112149532	0.03329439252336448	0.02102803738317757	0.23076923076923078
original_T095_A032	55	26	1712	55	2.1153846153846154	0.8	0.07651869158878505	0.026285046728971962	0.015771028037383176	0.34615384615384615
commissioned_T070_A032	55	26	1712	55	2.1153846153846154	0.8363636363636363	0.09871495327102804	0.03387850467289719	0.02161214953271028	0.23076923076923078
original_T095_A032	56	26	1712	56	2.1538461538461537	0.8035714285714286	0.07710280373831775	0.026869158878504672	0.016355140186915886	0.34615384615384615
commissioned_T070_A032	56	26	1712	56	2.1538461538461537	0.8392857142857143	0.09929906542056074	0.0344626168224299	0.02219626168224299	0.23076923076923078
original_T095_A032	57	26	1712	57	2.1923076923076925	0.8070175438596491	0.07768691588785047	0.027453271028037383	0.016939252336448597	0.34615384615384615
commissioned_T070_A032	57	26	1712	57	2.1923076923076925	0.8421052631578947	0.09988317757009346	0.035046728971962614	0.0227803738317757	0.23076923076923078
original_T095_A032	58	26	1712	58	2.230769230769231	0.8103448275862069	0.07827102803738317	0.028037383177570093	0.017523364485981307	0.34615384615384615
commissioned_T070_A032	58	26	1712	58	2.230769230769231	0.8275862068965517	0.1022196261682243	0.035046728971962614	0.0227803738317757	0.23076923076923078
original_T095_A032	59	26	1712	59	2.269230769230769	0.7966101694915254	0.07827102803738317	0.028037383177570093	0.017523364485981307	0.34615384615384615
commissioned_T070_A032	59	26	1712	59	2.269230769230769	0.8305084745762712	0.102803738317757	0.035630841121495324	0.02336448598130841	0.23076923076923078
original_T095_A032	60	26	1712	60	2.3076923076923075	0.8	0.07827102803738317	0.028037383177570093	0.017523364485981307	0.34615384615384615
commissioned_T070_A032	60	26	1712	60	2.3076923076923075	0.8333333333333334	0.10455607476635514	0.037383177570093455	0.02394859813084112	0.23076923076923078
original_T095_A032	61	26	1712	61	2.3461538461538463	0.8032786885245902	0.0794392523364486	0.029205607476635514	0.018107476635514017	0.34615384615384615
commissioned_T070_A032	61	26	1712	61	2.3461538461538463	0.8360655737704918	0.10514018691588785	0.037967289719626166	0.02453271028037383	0.23076923076923078
original_T095_A032	62	26	1712	62	2.3846153846153846	0.8064516129032258	0.08002336448598131	0.029789719626168224	0.018691588785046728	0.34615384615384615
commissioned_T070_A032	62	26	1712	62	2.3846153846153846	0.8387096774193549	0.10572429906542057	0.038551401869158876	0.02511682242990654	0.23076923076923078
original_T095_A032	63	26	1712	63	2.423076923076923	0.8095238095238095	0.08002336448598131	0.029789719626168224	0.018691588785046728	0.34615384615384615
commissioned_T070_A032	63	26	1712	63	2.423076923076923	0.8253968253968254	0.10572429906542057	0.038551401869158876	0.02511682242990654	0.23076923076923078
original_T095_A032	64	26	1712	64	2.4615384615384617	0.8125	0.08002336448598131	0.029789719626168224	0.018691588785046728	0.34615384615384615
commissioned_T070_A032	64	26	1712	64	2.4615384615384617	0.828125	0.10689252336448599	0.0397196261682243	0.02570093457943925	0.23076923076923078
original_T095_A032	65	26	1712	65	2.5	0.8153846153846154	0.08002336448598131	0.029789719626168224	0.018691588785046728	0.34615384615384615
commissioned_T070_A032	65	26	1712	65	2.5	0.8307692307692308	0.10747663551401869	0.04030373831775701	0.026285046728971962	0.23076923076923078
original_T095_A032	66	26	1712	66	2.5384615384615383	0.8181818181818182	0.08002336448598131	0.029789719626168224	0.018691588785046728	0.34615384615384615
commissioned_T070_A032	66	26	1712	66	2.5384615384615383	0.8333333333333334	0.10864485981308411	0.04147196261682243	0.026869158878504672	0.23076923076923078
original_T095_A032	67	26	1712	67	2.576923076923077	0.8208955223880597	0.08060747663551401	0.030373831775700934	0.019275700934579438	0.34615384615384615
commissioned_T070_A032	67	26	1712	67	2.576923076923077	0.835820895522388	0.10922897196261683	0.04205607476635514	0.027453271028037383	0.23076923076923078
original_T095_A032	68	26	1712	68	2.6153846153846154	0.8235294117647058	0.08060747663551401	0.030373831775700934	0.019275700934579438	0.34615384615384615
commissioned_T070_A032	68	26	1712	68	2.6153846153846154	0.8382352941176471	0.10981308411214953	0.04264018691588785	0.028037383177570093	0.23076923076923078
original_T095_A032	69	26	1712	69	2.6538461538461537	0.8260869565217391	0.08119158878504673	0.030957943925233645	0.01985981308411215	0.34615384615384615
commissioned_T070_A032	69	26	1712	69	2.6538461538461537	0.8405797101449275	0.11098130841121495	0.04380841121495327	0.028621495327102803	0.23076923076923078
original_T095_A032	70	26	1712	70	2.6923076923076925	0.8285714285714286	0.08235981308411215	0.03212616822429906	0.02044392523364486	0.34615384615384615
