ranker_scheme	variant	instance_coverage	candidate_labeled_coverage	same_role_purity	accepted_candidates	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_scene_frequency_at_0.00	crop_exposure_scene_frequency_at_0.01	crop_exposure_scene_frequency_at_0.10	proposal_set_coverage_ceiling	per_tile_K20_oracle_one_to_one_recall
commissioned_only_shared	commissioned	0.75	0.25	0.5	471.0	0.643312101910828	0.21904205607476634	0.2108644859813084	0.11565420560747663	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.370911214953271	0.1822429906542056
commissioned_only_shared	original	0.75	0.25	0.75	471.0	0.6178343949044586	0.12266355140186916	0.10046728971962617	0.05724299065420561	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.13551401869158877	0.08235981308411215
commissioned_only_shared	commissioned	0.75	0.25	0.75	471.0	0.6305732484076433	0.21904205607476634	0.1822429906542056	0.11214953271028037	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.33703271028037385	0.1810747663551402
commissioned_only_shared	original	0.75	0.25	0.9	471.0	0.613588110403397	0.12266355140186916	0.07126168224299065	0.056074766355140186	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.102803738317757	0.08060747663551401
commissioned_only_shared	commissioned	0.75	0.25	0.9	471.0	0.6263269639065817	0.21904205607476634	0.1466121495327103	0.11156542056074767	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.3014018691588785	0.18049065420560748
commissioned_only_shared	original	0.75	0.5	0.5	471.0	0.5944798301486199	0.12266355140186916	0.11390186915887851	0.053738317757009345	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.15070093457943926	0.08002336448598131
commissioned_only_shared	commissioned	0.75	0.5	0.5	471.0	0.535031847133758	0.21904205607476634	0.18574766355140188	0.09287383177570094	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.29205607476635514	0.1413551401869159
commissioned_only_shared	original	0.75	0.5	0.75	471.0	0.5902335456475584	0.12266355140186916	0.09521028037383178	0.052570093457943924	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.12967289719626168	0.07710280373831775
commissioned_only_shared	commissioned	0.75	0.5	0.75	471.0	0.5222929936305732	0.21904205607476634	0.15712616822429906	0.08936915887850468	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.25817757009345793	0.13960280373831777
commissioned_only_shared	original	0.75	0.5	0.9	471.0	0.5859872611464968	0.12266355140186916	0.06600467289719626	0.0514018691588785	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.0969626168224299	0.07535046728971963
commissioned_only_shared	commissioned	0.75	0.5	0.9	471.0	0.5180467091295117	0.21904205607476634	0.12149532710280374	0.08878504672897196	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.22254672897196262	0.13901869158878505
commissioned_only_shared	original	0.75	0.75	0.5	471.0	0.4416135881104034	0.12266355140186916	0.09287383177570094	0.0344626168224299	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.11098130841121495	0.04672897196261682
commissioned_only_shared	commissioned	0.75	0.75	0.5	471.0	0.267515923566879	0.21904205607476634	0.08703271028037383	0.03271028037383177	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.11740654205607477	0.04906542056074766
commissioned_only_shared	original	0.75	0.75	0.75	471.0	0.43736730360934184	0.12266355140186916	0.0741822429906542	0.03329439252336448	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.08995327102803738	0.04380841121495327
commissioned_only_shared	commissioned	0.75	0.75	0.75	471.0	0.2632696390658174	0.21904205607476634	0.0794392523364486	0.03154205607476635	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.10514018691588785	0.04731308411214953
commissioned_only_shared	original	0.75	0.75	0.9	471.0	0.43312101910828027	0.12266355140186916	0.04497663551401869	0.03212616822429906	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.05724299065420561	0.04205607476635514
commissioned_only_shared	commissioned	0.75	0.75	0.9	471.0	0.25902335456475584	0.21904205607476634	0.04380841121495327	0.030957943925233645	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.06950934579439252	0.04672897196261682
original_only_shared	original	0.25	0.25	0.5	471.0	0.6220806794055201	0.22780373831775702	0.22488317757009346	0.1378504672897196	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.3621495327102804	0.1699766355140187
original_only_shared	commissioned	0.25	0.25	0.5	471.0	0.27176220806794055	0.05899532710280374	0.05724299065420561	0.055490654205607476	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.5309579439252337	0.20794392523364486
original_only_shared	original	0.25	0.25	0.75	471.0	0.6178343949044586	0.22780373831775702	0.19742990654205608	0.1366822429906542	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.33119158878504673	0.169392523364486
original_only_shared	commissioned	0.25	0.25	0.75	471.0	0.27176220806794055	0.05899532710280374	0.05724299065420561	0.055490654205607476	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.49065420560747663	0.20735981308411214
original_only_shared	original	0.25	0.25	0.9	471.0	0.613588110403397	0.22780373831775702	0.16296728971962618	0.13551401869158877	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.2932242990654206	0.16880841121495327
original_only_shared	commissioned	0.25	0.25	0.9	471.0	0.27176220806794055	0.05899532710280374	0.05724299065420561	0.055490654205607476	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.4503504672897196	0.20619158878504673
original_only_shared	original	0.25	0.5	0.5	471.0	0.5966029723991507	0.22780373831775702	0.21904205607476634	0.13259345794392524	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.3492990654205608	0.16355140186915887
original_only_shared	commissioned	0.25	0.5	0.5	471.0	0.23779193205944799	0.05899532710280374	0.04964953271028037	0.04789719626168224	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.42289719626168226	0.17757009345794392
original_only_shared	original	0.25	0.5	0.75	471.0	0.5923566878980892	0.22780373831775702	0.19158878504672897	0.1314252336448598	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.3183411214953271	0.16296728971962618
original_only_shared	commissioned	0.25	0.5	0.75	471.0	0.23779193205944799	0.05899532710280374	0.04964953271028037	0.04789719626168224	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.38259345794392524	0.17698598130841123
original_only_shared	original	0.25	0.5	0.9	471.0	0.5881104033970276	0.22780373831775702	0.15712616822429906	0.1302570093457944	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.2803738317757009	0.16238317757009346
original_only_shared	commissioned	0.25	0.5	0.9	471.0	0.23779193205944799	0.05899532710280374	0.04964953271028037	0.04789719626168224	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.3422897196261682	0.1758177570093458
original_only_shared	original	0.25	0.75	0.5	471.0	0.44798301486199577	0.22780373831775702	0.17990654205607476	0.0969626168224299	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.2564252336448598	0.12908878504672897
