panel	variant	metric	estimate	ci95_low	ci95_high	cluster_unit	clusters	bootstrap_replicates	contrast	requested_k	images	weed_instances	accepted_candidates	mean_candidates_per_image	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
d	commissioned_T070_A032									15	26	1712	371	14.26923076923077	0.5121293800539084	0.21728971962616822	0.125	0.0905373831775701	0.8461538461538461
d	original_T095_A032									16	26	1712	392	15.076923076923077	0.5867346938775511	0.15011682242990654	0.09462616822429906	0.07710280373831775	0.8461538461538461
d	commissioned_T070_A032									16	26	1712	392	15.076923076923077	0.5076530612244898	0.22313084112149534	0.12850467289719625	0.09404205607476636	0.8461538461538461
d	original_T095_A032									17	26	1712	412	15.846153846153847	0.5922330097087378	0.15771028037383178	0.1022196261682243	0.08294392523364486	0.8461538461538461
d	commissioned_T070_A032									17	26	1712	412	15.846153846153847	0.5145631067961165	0.2330607476635514	0.1366822429906542	0.10046728971962617	0.8461538461538461
d	original_T095_A032									18	26	1712	432	16.615384615384617	0.5902777777777778	0.16530373831775702	0.10864485981308411	0.08703271028037383	0.8461538461538461
d	commissioned_T070_A032									18	26	1712	432	16.615384615384617	0.5162037037037037	0.2441588785046729	0.14485981308411214	0.10630841121495327	0.8461538461538461
d	original_T095_A032									19	26	1712	452	17.384615384615383	0.5862831858407079	0.17348130841121495	0.1133177570093458	0.0911214953271028	0.8461538461538461
d	commissioned_T070_A032									19	26	1712	452	17.384615384615383	0.5132743362831859	0.2610981308411215	0.15011682242990654	0.11039719626168225	0.8846153846153846
d	original_T095_A032									20	26	1712	471	18.115384615384617	0.5859872611464968	0.1875	0.11974299065420561	0.0969626168224299	0.8461538461538461
d	commissioned_T070_A032									20	26	1712	471	18.115384615384617	0.5180467091295117	0.2692757009345794	0.15712616822429906	0.11565420560747663	0.8846153846153846
