model	seed	instance_coverage	candidate_labeled_coverage	same_role_purity	weed_instances	accepted_candidates	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_scene_frequency_at_0.00	crop_exposure_scene_frequency_at_0.01	crop_exposure_scene_frequency_at_0.10
DeepLabV3+--ResNet50	20260822	0.25	0.75	0.9	1712	513	0.2553606237816764	0.29439252336448596	0.10455607476635514	0.07476635514018691	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.5	0.25	0.5	1712	513	0.7777777777777778	0.2780373831775701	0.2774532710280374	0.21787383177570094	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.5	0.25	0.75	1712	513	0.7777777777777778	0.2780373831775701	0.2774532710280374	0.21787383177570094	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.5	0.25	0.9	1712	513	0.7777777777777778	0.2780373831775701	0.2774532710280374	0.21787383177570094	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.5	0.5	0.5	1712	513	0.6783625730994152	0.2780373831775701	0.2505841121495327	0.1939252336448598	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.5	0.5	0.75	1712	513	0.6783625730994152	0.2780373831775701	0.2505841121495327	0.1939252336448598	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.5	0.5	0.9	1712	513	0.6783625730994152	0.2780373831775701	0.2505841121495327	0.1939252336448598	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.5	0.75	0.5	1712	513	0.2553606237816764	0.2780373831775701	0.10046728971962617	0.07126168224299065	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.5	0.75	0.75	1712	513	0.2553606237816764	0.2780373831775701	0.10046728971962617	0.07126168224299065	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.5	0.75	0.9	1712	513	0.2553606237816764	0.2780373831775701	0.10046728971962617	0.07126168224299065	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.75	0.25	0.5	1712	513	0.7777777777777778	0.23656542056074767	0.23656542056074767	0.1816588785046729	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.75	0.25	0.75	1712	513	0.7777777777777778	0.23656542056074767	0.23656542056074767	0.1816588785046729	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.75	0.25	0.9	1712	513	0.7777777777777778	0.23656542056074767	0.23656542056074767	0.1816588785046729	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.75	0.5	0.5	1712	513	0.6783625730994152	0.23656542056074767	0.21787383177570094	0.1658878504672897	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.75	0.5	0.75	1712	513	0.6783625730994152	0.23656542056074767	0.21787383177570094	0.1658878504672897	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.75	0.5	0.9	1712	513	0.6783625730994152	0.23656542056074767	0.21787383177570094	0.1658878504672897	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.75	0.75	0.5	1712	513	0.2553606237816764	0.23656542056074767	0.08586448598130841	0.05724299065420561	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.75	0.75	0.75	1712	513	0.2553606237816764	0.23656542056074767	0.08586448598130841	0.05724299065420561	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.75	0.75	0.9	1712	513	0.2553606237816764	0.23656542056074767	0.08586448598130841	0.05724299065420561	0.23076923076923078	0.23076923076923078	0.23076923076923078
Mask R-CNN--ResNet50-FPN-v2	20260820	0.25	0.25	0.5	1712	520	0.85	0.2610981308411215	0.2605140186915888	0.2441588785046729	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.25	0.25	0.75	1712	520	0.85	0.2610981308411215	0.2605140186915888	0.2441588785046729	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.25	0.25	0.9	1712	520	0.85	0.2610981308411215	0.2605140186915888	0.2441588785046729	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.25	0.5	0.5	1712	520	0.8	0.2610981308411215	0.24591121495327103	0.23072429906542055	0.23076923076923078	0.19230769230769232	0.11538461538461539
