policy	file	date	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0176	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0176	1	50	42	0.84	150	61	0.4066666666666667	50	0.3333333333333333	42	0.28	35	0.2333333333333333	1	1.0	1	1.0	1	1.0	1	1.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0231	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0231	1	29	19	0.6551724137931034	65	33	0.5076923076923077	24	0.3692307692307692	27	0.4153846153846154	18	0.2769230769230769	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0667	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0667	1	33	29	0.8787878787878788	95	39	0.4105263157894737	36	0.3789473684210526	31	0.3263157894736842	28	0.2947368421052631	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0670	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0670	1	36	35	0.9722222222222222	96	58	0.6041666666666666	58	0.6041666666666666	34	0.3541666666666667	34	0.3541666666666667	1	1.0	1	1.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0736	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0736	1	28	26	0.9285714285714286	69	45	0.6521739130434783	44	0.6376811594202898	23	0.3333333333333333	22	0.3188405797101449	1	1.0	1	1.0	1	1.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-06-06:2023-06-06_0770	2023-06-06	tile	weedsgalore_official_dataset:2023-06-06:2023-06-06_0770	1	38	38	1.0	74	51	0.6891891891891891	51	0.6891891891891891	33	0.4459459459459459	33	0.4459459459459459	0	0.0	0	0.0	0	0.0	0	0.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	2023-06-15	tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0169	1	22	21	0.9545454545454546	80	9	0.1125	9	0.1125	7	0.0875	7	0.0875	1	1.0	1	1.0	1	1.0	1	1.0
bounded_global_min5_max50_N520	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	2023-06-15	tile	weedsgalore_official_dataset:2023-06-15:2023-06-15_0735	1	13	6	0.4615384615384615	74	4	0.054054054054054	4	0.054054054054054	4	0.054054054054054	4	0.054054054054054	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0109	1	1	0	0.0	17	1	0.0588235294117647	0	0.0	1	0.0588235294117647	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0114	1	0	0	0.0	17	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0170	1	2	0	0.0	16	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0183	1	1	0	0.0	9	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0681	1	6	3	0.5	69	2	0.0289855072463768	2	0.0289855072463768	2	0.0289855072463768	2	0.0289855072463768	1	1.0	1	1.0	1	1.0	1	1.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0685	1	8	0	0.0	114	2	0.0175438596491228	0	0.0	2	0.0175438596491228	0	0.0	1	1.0	1	1.0	1	1.0	1	1.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-25:2023-05-25_0750	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0750	1	2	1	0.5	74	2	0.027027027027027	1	0.0135135135135135	2	0.027027027027027	1	0.0135135135135135	1	1.0	1	1.0	1	1.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-25:2023-05-25_0786	2023-05-25	tile	weedsgalore_official_dataset:2023-05-25:2023-05-25_0786	1	3	2	0.6666666666666666	76	3	0.0394736842105263	2	0.0263157894736842	3	0.0394736842105263	2	0.0263157894736842	1	1.0	1	1.0	1	1.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-30:2023-05-30_0039	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0039	1	0	0	0.0	43	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-30:2023-05-30_0044	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0044	1	8	5	0.625	46	6	0.1304347826086956	4	0.0869565217391304	6	0.1304347826086956	4	0.0869565217391304	0	0.0	0	0.0	0	0.0	0	0.0
validation_score_threshold_transferred	weedsgalore_official_dataset:2023-05-30:2023-05-30_0099	2023-05-30	tile	weedsgalore_official_dataset:2023-05-30:2023-05-30_0099	1	14	9	0.6428571428571429	52	9	0.173076923076923	5	0.0961538461538461	9	0.173076923076923	5	0.0961538461538461	0	0.0	0	0.0	0	0.0	0	0.0
