variant	model	held_out_date	k	images	accepted_candidates	eligible_weed_candidates	eligible_crop_candidates	ambiguous_or_background_candidates	all_candidate_precision	queued_spatial_weed_instance_recall	queued_role_qualified_weed_instance_recall	pure_crop_scene_frequency	crop_overlap_scene_frequency_0.00	crop_overlap_scene_frequency_0.01	crop_overlap_scene_frequency_0.10	crop_overlap_scene_frequency_0.50
nested_commissioned	local_only	2023-05-30	1	48	48	6	0	42	0.125	0.00288421920065925	0.0012360939431396785	0.0	0.0	0.0	0.0	0.0
nested_commissioned	local_only	2023-05-30	5	48	240	37	1	202	0.15416666666666667	0.018953440461475072	0.013185002060156572	0.020833333333333332	0.041666666666666664	0.041666666666666664	0.020833333333333332	0.020833333333333332
nested_commissioned	local_only	2023-05-30	10	48	480	81	5	394	0.16875	0.044087350638648534	0.030902348578491966	0.08333333333333333	0.16666666666666666	0.16666666666666666	0.14583333333333334	0.08333333333333333
nested_commissioned	local_only	2023-05-30	20	48	960	170	15	775	0.17708333333333334	0.10589204779563247	0.06262875978574371	0.22916666666666666	0.3333333333333333	0.3333333333333333	0.3125	0.22916666666666666
nested_commissioned	role_plus_local	2023-05-30	1	48	48	4	0	44	0.08333333333333333	0.004532344458178822	0.0008240626287597857	0.0	0.0	0.0	0.0	0.0
nested_commissioned	role_plus_local	2023-05-30	5	48	240	28	1	211	0.11666666666666667	0.02595797280593325	0.010712814173877214	0.020833333333333332	0.0625	0.0625	0.0625	0.020833333333333332
nested_commissioned	role_plus_local	2023-05-30	10	48	480	58	2	420	0.12083333333333333	0.047795632468067575	0.021837659662134322	0.041666666666666664	0.16666666666666666	0.16666666666666666	0.14583333333333334	0.041666666666666664
nested_commissioned	role_plus_local	2023-05-30	20	48	960	132	9	819	0.1375	0.10259579728059333	0.05109188298310672	0.16666666666666666	0.375	0.375	0.3333333333333333	0.14583333333333334
nested_commissioned	role_only	2023-06-06	1	48	48	14	24	10	0.2916666666666667	0.011214557765552264	0.004020313161235718	0.5	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6041666666666666
nested_commissioned	role_only	2023-06-06	5	48	240	116	78	46	0.48333333333333334	0.05945831570038087	0.03258569614896318	0.8333333333333334	0.9166666666666666	0.9166666666666666	0.9166666666666666	0.875
nested_commissioned	role_only	2023-06-06	10	48	480	261	110	109	0.54375	0.11637748624629708	0.0683453237410072	0.9166666666666666	0.9583333333333334	0.9583333333333334	0.9583333333333334	0.9375
