variant	held_out_date	truth_role	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	truth_instances	role_qualified_proposal_recall
nested_commissioned	2023-05-25	crop	0.5	0.25	0.5	821	0.6662606577344702
nested_commissioned	2023-05-25	weed	0.5	0.25	0.5	1695	0.0743362831858407
nested_commissioned	2023-05-25	crop	0.5	0.25	0.75	821	0.6613885505481121
nested_commissioned	2023-05-25	weed	0.5	0.25	0.75	1695	0.07315634218289085
nested_commissioned	2023-05-25	crop	0.5	0.25	0.9	821	0.6552984165651644
nested_commissioned	2023-05-25	weed	0.5	0.25	0.9	1695	0.07256637168141593
nested_commissioned	2023-05-25	crop	0.5	0.5	0.5	821	0.34957369062119364
nested_commissioned	2023-05-25	weed	0.5	0.5	0.5	1695	0.027138643067846607
nested_commissioned	2023-05-25	crop	0.5	0.5	0.75	821	0.34835566382460414
nested_commissioned	2023-05-25	weed	0.5	0.5	0.75	1695	0.027138643067846607
nested_commissioned	2023-05-25	crop	0.5	0.5	0.9	821	0.3471376370280146
nested_commissioned	2023-05-25	weed	0.5	0.5	0.9	1695	0.02654867256637168
nested_commissioned	2023-05-25	crop	0.5	0.75	0.5	821	0.0389768574908648
nested_commissioned	2023-05-25	weed	0.5	0.75	0.5	1695	0.005309734513274336
nested_commissioned	2023-05-25	crop	0.5	0.75	0.75	821	0.0389768574908648
nested_commissioned	2023-05-25	weed	0.5	0.75	0.75	1695	0.005309734513274336
nested_commissioned	2023-05-25	crop	0.5	0.75	0.9	821	0.0389768574908648
nested_commissioned	2023-05-25	weed	0.5	0.75	0.9	1695	0.00471976401179941
nested_commissioned	2023-05-25	crop	0.75	0.25	0.5	821	0.5298416565164433
nested_commissioned	2023-05-25	weed	0.75	0.25	0.5	1695	0.0471976401179941
nested_commissioned	2023-05-25	crop	0.75	0.25	0.75	821	0.5261875761266748
nested_commissioned	2023-05-25	weed	0.75	0.25	0.75	1695	0.04660766961651917
nested_commissioned	2023-05-25	crop	0.75	0.25	0.9	821	0.5213154689403167
nested_commissioned	2023-05-25	weed	0.75	0.25	0.9	1695	0.04660766961651917
nested_commissioned	2023-05-25	crop	0.75	0.5	0.5	821	0.2545676004872107
nested_commissioned	2023-05-25	weed	0.75	0.5	0.5	1695	0.01710914454277286
